Date,Open,High,Low,Close
20-03-2023,28041.60156,28527.72461,27242.88086,27767.23633
21-03-2023,27768.39258,28439.5625,27439.64648,28175.81641
22-03-2023,28158.7207,28803.33594,26759.99609,27307.4375
23-03-2023,27301.95703,28729.84375,27183.36328,28333.97266
24-03-2023,28324.11133,28388.4375,27039.26563,27493.28516
25-03-2023,27487.33789,27791.82617,27196.23438,27494.70703
26-03-2023,27495.52344,28178.14453,27445.04688,27994.33008
27-03-2023,27994.06836,28037.92578,26606.68945,27139.88867
28-03-2023,27132.88867,27460.71875,26677.81836,27268.13086
29-03-2023,27267.03125,28619.54297,27259.66211,28348.44141
30-03-2023,28350.14063,29159.90234,27720.16016,28033.5625
31-03-2023,28032.26172,28639.89648,27583.71484,28478.48438
01-04-2023,28473.33203,28802.45703,28297.17188,28411.03516
02-04-2023,28462.8457,28518.95898,27884.08789,28199.30859
03-04-2023,28183.08008,28475.62305,27276.7207,27790.2207
04-04-2023,27795.27344,28433.74219,27681.30469,28168.08984
05-04-2023,28169.72656,28739.23828,27843.76367,28177.98438
06-04-2023,28175.22656,28178.38477,27738.75977,28044.14063
07-04-2023,28038.9668,28111.59375,27794.03125,27925.85938
08-04-2023,27920.51367,28159.86328,27883.38672,27947.79492
09-04-2023,27952.36719,28532.83008,27828.48047,28333.05078
10-04-2023,28336.02734,29771.46484,28189.27148,29652.98047
11-04-2023,29653.67969,30509.08398,29609.30078,30235.05859
12-04-2023,30231.58203,30462.48047,29725.57422,30139.05273
13-04-2023,29892.74023,30539.8457,29878.62305,30399.06641
14-04-2023,30409.5625,31005.60742,30044.49805,30485.69922
15-04-2023,30490.75,30601.74023,30245.88281,30318.49609
16-04-2023,30315.97656,30555.53711,30157.83203,30315.35547
17-04-2023,30317.14648,30319.19727,29275.37109,29445.04492
18-04-2023,29449.0918,30470.30273,29154.84961,30397.55273
19-04-2023,30394.1875,30411.05469,28669.89844,28822.67969
20-04-2023,28823.68359,29076.40039,28037.25781,28245.98828
21-04-2023,28249.23047,28349.96875,27177.36523,27276.91016
22-04-2023,27265.89453,27872.14258,27169.57031,27817.5
23-04-2023,27816.14453,27820.24414,27400.31445,27591.38477
24-04-2023,27591.73047,27979.98242,27070.84961,27525.33984
25-04-2023,27514.87305,28371.07813,27207.93164,28307.59766
26-04-2023,28300.05859,29995.83789,27324.54883,28422.70117
27-04-2023,28428.46484,29871.54688,28402.88672,29473.78711
28-04-2023,29481.01367,29572.79102,28929.60938,29340.26172
29-04-2023,29336.56641,29452.45508,29088.04297,29248.48828
30-04-2023,29245.51563,29952.0293,29114.02148,29268.80664
01-05-2023,29227.10352,29329.93555,27680.79297,28091.56836
02-05-2023,28087.17578,28881.29883,27924.12305,28680.53711
03-05-2023,28680.49414,29259.5332,28178.38867,29006.30859
04-05-2023,29031.30469,29353.18555,28694.03906,28847.71094
05-05-2023,28851.48047,29668.9082,28845.50977,29534.38477
06-05-2023,29538.85938,29820.12695,28468.9668,28904.62305
07-05-2023,28901.62305,29157.51758,28441.36719,28454.97852
08-05-2023,28450.45703,28663.27148,27310.13477,27694.27344
09-05-2023,27695.06836,27821.40039,27375.60156,27658.77539
10-05-2023,27654.63672,28322.6875,26883.66992,27621.75586
11-05-2023,27621.08594,27621.94141,26781.82617,27000.78906
12-05-2023,26987.66211,27055.64648,25878.42969,26804.99023
13-05-2023,26807.76953,27030.48242,26710.87305,26784.07813
14-05-2023,26788.97461,27150.97656,26661.35547,26930.63867
15-05-2023,26931.38477,27646.34766,26766.09766,27192.69336
16-05-2023,27171.51367,27299.30469,26878.94727,27036.65039
17-05-2023,27035.4707,27465.92773,26600.14453,27398.80273
18-05-2023,27401.65039,27466.52734,26415.10156,26832.20898
19-05-2023,26826.75391,27128.61914,26700.21094,26890.12891
20-05-2023,26888.8418,27155.1582,26843.27734,27129.58594
21-05-2023,27118.42383,27265.91797,26706.92188,26753.82617
22-05-2023,26749.89258,27045.73438,26549.73438,26851.27734
23-05-2023,26855.96094,27434.68359,26816.17969,27225.72656
24-05-2023,27224.60352,27224.60352,26106.57617,26334.81836
25-05-2023,26329.46094,26591.51953,25890.59375,26476.20703
26-05-2023,26474.18164,26916.66992,26343.94922,26719.29102
27-05-2023,26720.18164,26888.88281,26621.14063,26868.35352
28-05-2023,26871.1582,28193.44922,26802.75195,28085.64648
29-05-2023,28075.5918,28432.03906,27563.87695,27745.88477
30-05-2023,27745.12305,28044.75977,27588.50195,27702.34961
31-05-2023,27700.5293,27831.67773,26866.45313,27219.6582
01-06-2023,27218.41211,27346.10547,26671.7207,26819.97266
02-06-2023,26824.55664,27303.86133,26574.64453,27249.58984
03-06-2023,27252.32422,27317.05273,26958.00391,27075.12891
04-06-2023,27075.12305,27407.01953,26968.22461,27119.06641
05-06-2023,27123.10938,27129.98242,25445.16797,25760.09766
06-06-2023,25732.10938,27313.82031,25434.86719,27238.7832
07-06-2023,27235.65039,27332.18164,26146.98828,26345.99805
08-06-2023,26347.6543,26797.51367,26246.66406,26508.2168
09-06-2023,26505.92383,26770.28906,26339.31445,26480.375
10-06-2023,26481.76172,26531.04492,25501.83594,25851.24023
11-06-2023,25854.03125,26203.43945,25668.98633,25940.16797
12-06-2023,25934.28516,26087.91992,25675.19727,25902.5
13-06-2023,25902.94141,26376.35156,25728.36523,25918.72852
14-06-2023,25920.25781,26041.80078,24902.15234,25124.67578
15-06-2023,25121.67383,25735.30859,24797.16797,25576.39453
16-06-2023,25575.2832,26463.17383,25245.35742,26327.46289
17-06-2023,26330.41406,26753.89648,26174.49219,26594.0332
